species,group,redundancy,setting,ref,denov,av.cov,BUSCO_EUK_ref_value,BUSCO_EUK_denov_value,BUSCO_EUK_diff,ref_vs_denov,Short_proteins,Less_proteins,Short_contigs,Less_contigs
Acrasis_kona,Other,NR90,NR90_EUK,5328438,4784760,134.484,220,203,-0.06666666667,543678,N,N,Y,N
Bodo_saltans,Bodonids,NR90,NR90_EUK,9101638,5459491,33.3886,139,80,-0.231372549,3642147,Y,Y,F,N
Capsaspora_owczarzaki,Other,NR90,NR90_EUK,5339914,4329154,47.8176,236,224,-0.04705882353,1010760,N,N,F,N
Diplonema_papillatum,Euglenozoa_Other,NR90,NR90_EUK,15292088,8392648,75.7302,178,142,-0.1411764706,6899440,Y,Y,Y,Y
Emiliania_huxleyi,Other,NR90,NR90_EUK,10512856,3450228,37.7505,146,76,-0.2745098039,7062628,N,Y,F,Y
Leishmania_infantum,Trypanosomatids,NR90,NR90_EUK,5098228,3073332,222.768,137,57,-0.3137254902,2024896,N,Y,N,Y
Leishmania_major,Trypanosomatids,NR90,NR90_EUK,5166131,4946493,76.5257,138,117,-0.08235294118,219638,Y,N,Y,N
Leptomonas_pyrrhocoris,Trypanosomatids,NR90,NR90_EUK,5640902,5259301,80.4674,146,118,-0.1098039216,381601,Y,N,N,N
Leptomonas_seymouri,Trypanosomatids,NR90,NR90_EUK,5296844,6062204,118.421,145,134,-0.0431372549,-765360,N,N,F,N
Monocercomonoides_exilis,Other,NR90,NR90_EUK,13258929,10566612,95.1539,155,121,-0.1333333333,2692317,N,N,N,N
Naegleria_fowleri,Other,NR90,NR90_EUK,6955494,5087279,224.736,219,181,-0.1490196078,1868215,Y,N,Y,N
Saccharomyces_cerevisiae,Other,NR90,NR90_EUK,2771965,1545215,677.752,239,111,-0.5019607843,1226750,N,Y,N,Y
Trichomonas_vaginalis,Other,NR90,NR90_EUK,12212562,10700234,354.194,136,128,-0.03137254902,1512328,N,Y,N,Y
Trypanosoma_congolense_IL3000,Trypanosomatids,NR90,NR90_EUK,4204045,3767300,41.5234,121,132,0.0431372549,436745,N,Y,F,Y
Trypanosoma_cruzi,Trypanosomatids,NR90,NR90_EUK,4913768,5106586,164.22,125,122,-0.01176470588,-192818,Y,N,Y,N
