species,group,assembly,redundancy,setting,ref_vs_denov,ref,denov
Acrasis_kona,Other,de novo,NR90,NR90_EUK,543678,5328438,4784760
Bodo_saltans,Bodonids,de novo,NR90,NR90_EUK,3642147,9101638,5459491
Capsaspora_owczarzaki,Other,de novo,NR90,NR90_EUK,1010760,5339914,4329154
Diplonema_papillatum,Euglenozoa_Other,de novo,NR90,NR90_EUK,6899440,15292088,8392648
Emiliania_huxleyi,Other,de novo,NR90,NR90_EUK,7062628,10512856,3450228
Leishmania_infantum,Trypanosomatids,de novo,NR90,NR90_EUK,2024896,5098228,3073332
Leishmania_major,Trypanosomatids,de novo,NR90,NR90_EUK,219638,5166131,4946493
Leptomonas_pyrrhocoris,Trypanosomatids,de novo,NR90,NR90_EUK,381601,5640902,5259301
Leptomonas_seymouri,Trypanosomatids,de novo,NR90,NR90_EUK,-765360,5296844,6062204
Monocercomonoides_exilis,Other,de novo,NR90,NR90_EUK,2692317,13258929,10566612
Naegleria_fowleri,Other,de novo,NR90,NR90_EUK,1868215,6955494,5087279
Saccharomyces_cerevisiae,Other,de novo,NR90,NR90_EUK,1226750,2771965,1545215
Trichomonas_vaginalis,Other,de novo,NR90,NR90_EUK,1512328,12212562,10700234
Trypanosoma_congolense_IL3000,Trypanosomatids,de novo,NR90,NR90_EUK,436745,4204045,3767300
Trypanosoma_cruzi,Trypanosomatids,de novo,NR90,NR90_EUK,-192818,4913768,5106586
Acrasis_kona,Other,de novo,ORIGINAL,ORIGINAL_EUK,876247,6073041,5196794
Bodo_saltans,Bodonids,de novo,ORIGINAL,ORIGINAL_EUK,1963368,9338252,7374884
Capsaspora_owczarzaki,Other,de novo,ORIGINAL,ORIGINAL_EUK,710961,5565921,4854960
Diplonema_papillatum,Euglenozoa_Other,de novo,ORIGINAL,ORIGINAL_EUK,12781020,22486931,9705911
Emiliania_huxleyi,Other,de novo,ORIGINAL,ORIGINAL_EUK,9440610,13220558,3779948
Leishmania_infantum,Trypanosomatids,de novo,ORIGINAL,ORIGINAL_EUK,1950996,5263968,3312972
Leishmania_major,Trypanosomatids,de novo,ORIGINAL,ORIGINAL_EUK,145023,5394571,5249548
Leptomonas_pyrrhocoris,Trypanosomatids,de novo,ORIGINAL,ORIGINAL_EUK,572039,5907981,5335942
Leptomonas_seymouri,Trypanosomatids,de novo,ORIGINAL,ORIGINAL_EUK,-3978005,5298531,9276536
Monocercomonoides_exilis,Other,de novo,ORIGINAL,ORIGINAL_EUK,1589729,14124126,12534397
Naegleria_fowleri,Other,de novo,ORIGINAL,ORIGINAL_EUK,117904,7312343,7194439
Saccharomyces_cerevisiae,Other,de novo,ORIGINAL,ORIGINAL_EUK,972067,2925212,1953145
Trichomonas_vaginalis,Other,de novo,ORIGINAL,ORIGINAL_EUK,7487115,20796733,13309618
Trypanosoma_congolense_IL3000,Trypanosomatids,de novo,ORIGINAL,ORIGINAL_EUK,1014389,5068668,4054279
Trypanosoma_cruzi,Trypanosomatids,de novo,ORIGINAL,ORIGINAL_EUK,-1068451,5123588,6192039
